ObjectId,CitationNumber,OfficerBadgeNo,CitationDateTime,OffenseDateTime,WeatherCondition,CaseNumber,ViolatorPartyType,ViolatorAge,ViolatorSex,ViolatorRace,ViolatorEthnicity,VehYear,VehMake,VehModel,VehType,PrimaryBlock,PrimaryStreet,CrossStreet,DirectionOfTravel,Arrest,ViolationStopResult,ViolationOffenseType,ViolationDescription,Offense_Code,OffenseSubCode,Violation_Notes,CourtRequired,ObservedSpeed,PostedSpeed,SpeedDetermined,RadarMovSta,Radar_LidarNo,Accident,OfficerNotes,DiagramFilename,ReasonForStop,TypeOfSearch,VehicleSearch
1006,CS0073603,224,2016/05/28 00:48:00+00,00/27/2016 17:48:00,,151821,DRIVER,55,M,WHITE,W,,,NOT IN LIST,PASS,,10TH STREET,J STREET,S,N,CITATION,I,(I) CROSSING AGAINST LIGHT,SCC,10.20.060,(I) CROSSING AGAINST LIGHT,N,,,,,,N,"BLOCKED TRAFFIC, FROM CITY HALL TO CHAVEZ PARK, CONCERT IN THE PARK TIME",,,,
1007,CS0138516,208,2016/05/30 19:20:00+00,00/30/2016 12:20:00,CLEAR,154812,DRIVER,29,M,WHITE,W,1999,FORD,EXPEDITION,PASS,1689,ARDEN WAY,,S,N,CITATION,M,(M) DRIVE VEHICLE IN VIO OF RESTRICTIONS-CHEM TEST REFUSAL,VC,14601.5(B),(M) DRIVE VEHICLE IN VIO OF RESTRICTIONS-CHEM TEST REFUSAL,N,,,,,,N,,,,,
1008,CS0117216,876,2016/12/16 18:14:59+00,00/16/2016 10:15:00,,359353,DRIVER,53,F,WHITE,W,1997,FORD,TAURUS,PASS,,I 5 NB BROADWAY OFF,,N,N,CITATION,I,(I)FAILURE TO STOP AT STOP SIGN,VC,22450(A),(I)FAILURE TO STOP AT STOP SIGN,N,,,,,,N,,,,,
1009,CS0151502,882,2016/03/10 09:59:00+00,00/10/2016 01:59:00,CLEAR,68914,DRIVER,25,M,HISPANIC,W,1995,CHEVROLET,CAMARO,PASS,,S ST,28TH ST,E,N,CITATION,M,(M) SUSP/REVOKE LICENSE,VC,14601.1(A),(M) SUSP/REVOKE LICENSE,N,,,,,,N,CALL 981. SLEEPING IN VEH WHILE STOPPED AT STOP SIGN.,,,,
1010,CS0164784,530,2016/08/08 17:06:00+00,00/08/2016 10:06:00,,229295,DRIVER,56,F,HISPANIC,W,1998,HONDA,ACCORD,PASS,,16TH TH ST,S ST,N,N,CITATION,I,(I) UNLAWFUL MATERIAL ON VEHICLE WINDSHIELD/WINDOWS,VC,26708(A)1,(I) UNLAWFUL MATERIAL ON VEHICLE WINDSHIELD/WINDOWS,N,,,,,,N,,,,,
1011,CS0164693,530,2016/07/15 16:33:00+00,00/15/2016 09:33:00,,205060,DRIVER,28,M,HISPANIC,W,2014,NISSAN,FRONTIER,PASS,,STOCKTON BLVD,FRUITRIDGE RD,E,N,WARNING,I,(I) WIRELESS DEVICE NOT HANDS FREE,VC,23123(A),(I) WIRELESS DEVICE NOT HANDS FREE,N,,,,,,N,,,WARNING ONLY,,
1012,CS0127741,211,2016/12/14 23:42:59+00,00/14/2016 15:43:00,CLOUDY,357669,DRIVER,23,F,AFRICAN AMERICAN,B,1992,HONDA,,PASS,,NORTHGATE,W EL CAMINO,,N,CITATION,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),(I) PROOF OF INSURANCE REQUIRED,N,,,,,,N,,,,,
1013,CS0164976,530,2016/09/30 18:43:59+00,00/30/2016 11:44:00,,283682,DRIVER,44,M,HISPANIC,W,2015,NISSAN,VERSA,PASS,2,SAN JUAN RD,TRUXEL RD,S,N,CITATION,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),(I) PROOF OF INSURANCE REQUIRED,N,,,,,,N,,,,,
1014,CS0165167,257,2016/06/07 20:45:59+00,00/07/2016 13:46:00,,163505,DRIVER,44,M,WHITE,W,2008,DODGE,RAM PICKUP 1500,PASS,,FOLSOM BLVD,HORNET DR,W,N,WARNING,I,(I) WIRELESS DEVICE NOT HANDS FREE,VC,23123(A),(I) WIRELESS DEVICE NOT HANDS FREE,N,,,,,,N,,,WARNING ONLY,,
1015,CS0045514,270,2016/01/13 07:05:59+00,00/12/2016 15:36:00,CLEAR,10756,DRIVER,18,F,HISPANIC,W,1992,TOYOTA,CAMRY,PASS,,NORTHGATE BLVD,SAN JUAN RD,N,N,CITATION,I,(I) UNSAFE TURNING MOVEMENT,VC,22107,(I) UNSAFE TURNING MOVEMENT,N,,,,,,Y,,,Accident,,4D
1016,CS0051037,557,2016/08/31 11:06:59+00,00/31/2016 04:07:00,,252553,DRIVER,58,F,AFRICAN AMERICAN,B,,,NOT IN LIST,PASS,13TH,STREET,STREET,N,N,CITATION,M,(M) REC STOLEN PROP-MISD,PC,496(A),(M) REC STOLEN PROP-MISD,N,,,,,,N,,,,,
1017,CS0009827,600,2016/03/15 16:06:59+00,00/15/2016 09:07:00,,73864,DRIVER,55,M,HISPANIC,W,2006,NISSAN,350Z,PASS,,SUTTERVILLE RD,21ST ST,E,N,CITATION,I,(I) DISPLAY OF LICENSE PLATES,VC,5200(A),(I) DISPLAY OF LICENSE PLATES NO PLATE ON FRONT BUMPER,N,,,,,,N,,,,,
1018,CS0168505,530,2016/10/19 17:52:59+00,00/19/2016 10:53:00,,303002,DRIVER,37,F,AFRICAN AMERICAN,B,2004,CADILLAC,DTS,PASS,,MATSON DR,24TH ST,N,N,CITATION,I,(I) UNSAFE SPEED FOR CONDITIONS,VC,22350,(I) UNSAFE SPEED FOR CONDITIONS,N,55,35,LIDAR,HANDHELD,,N,,,,,
1019,CS0101571,250,2016/11/16 23:23:59+00,00/14/2016 10:00:00,CLEAR,329307,DRIVER,20,M,AFRICAN AMERICAN,B,1991,ACURA,LEGEND,PASS,,STOCKTON BL,EL PARAISO AVE,E,N,CITATION,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),(I) NO EVIDENCE OF CURRENT REGISTRATION,N,10,,,,,Y,,,Accident,,4D
1020,1316617,974,2016/12/08 13:38:59+00,00/08/2016 05:39:00,RAIN,351387,Driver,40,F,AFRICAN AMERICAN,B,1997,BUICK,PARK AVENUE,PASS,,FRUITRIDGE,FRANKLIN,W,N,CITATION,I,(I) VIOL OF RIGHT-OF-WAY--LEFT TURN,VC,21801(A),,N,20,,,,,Y,,,ACCIDENT,,4D
1021,CS0145545,454,2016/04/22 15:26:00+00,00/22/2016 08:26:00,RAIN,114116,DRIVER,58,M,AFRICAN AMERICAN,B,,,NOT IN LIST,PASS,,N 14TH ST,A ST,,N,CITATION,I,(I) UNLAWFUL CAMPING-PUBLIC PROPERTY,SCC,12.52.030(A),(I) UNLAWFUL CAMPING-PUBLIC PROPERTY,N,,,,,,N,,,,,
1022,CS0102134,660,2016/04/26 16:20:00+00,00/26/2016 09:20:00,CLEAR,118324,DRIVER,31,F,HISPANIC,W,2012,TOYOTA,CAMRY,PASS,,IRVIN,23RD,W,N,CITATION,I,(I) UNLAWFUL MATERIAL ON VEHICLE WINDSHIELD/WINDOWS,VC,26708(A)1,(I) UNLAWFUL MATERIAL ON VEHICLE WINDSHIELD/WINDOWS,N,,,,,,N,,,,,4D
1023,CS0165344,257,2016/07/07 19:25:00+00,00/07/2016 12:25:00,,197137,DRIVER,46,M,WHITE,W,2006,NISSAN,SENTRA,PASS,,21ST ST,L ST,N,N,CITATION,I,"(I) DRIVER/PASSENGER NO SEAT BELT, DRIVER RESPONSIBLE",VC,27315(D)(1),"(I) DRIVER/PASSENGER NO SEAT BELT, DRIVER RESPONSIBLE",N,,,,,,N,,,,,4D
1024,CS0001347,530,2016/03/04 23:26:00+00,00/04/2016 15:26:00,,63627,DRIVER,48,M,WHITE,W,1965,VOLKSWAGEN,BEETLE,PASS,,PORTOLA WAY,24TH ST,N,N,CITATION,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),(I) PROOF OF INSURANCE REQUIRED,N,,,,,,N,,,,,
1025,CS0118586,734,2016/12/12 04:25:59+00,00/11/2016 20:26:00,CLOUDY,354862,DRIVER,37,F,AFRICAN AMERICAN,B,1999,DODGE,DURANGO,PASS,,GATEWAY PARK BLVD,DEL PASO RD,,N,CITATION,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),(I) NO EVIDENCE OF CURRENT REGISTRATION,N,,,,,,N,,,,,
1026,CS0137204,3006,2016/08/29 20:45:59+00,00/29/2016 13:46:00,,250883,DRIVER,40,M,HISPANIC,W,2010,VOLKSWAGEN,,PASS,,ARDEN,DEL PASO BLVD,,N,CITATION,I,(I) WIRELESS DEVICE NOT HANDS FREE,VC,23123(A),(I) WIRELESS DEVICE NOT HANDS FREE,N,,,,,,N,,,,,
1027,CS0167076,886,2016/08/01 21:30:00+00,00/01/2016 14:30:00,CLEAR,222454,DRIVER,25,F,MIXED RACE,U,,,NOT IN LIST,PASS,,16TH ST,N ST,N,N,CITATION,I,(I) DONT WALK OR WAIT OR UPRAISED HANDPEDESTRIA,VC,21456(B),(I) DONT WALK OR WAIT OR UPRAISED HANDPEDESTRIA,N,2,,,,,N,,,,,
1028,CS0013013,548,2016/08/01 08:35:59+00,00/01/2016 01:36:00,CLEAR,221937,DRIVER,23,M,AFRICAN AMERICAN,B,1996,HONDA,ACCORD,PASS,2449,NORTHGATE,,N,N,CITATION,M,(M) SUSP/REVOKE LICENSE,VC,14601.1(A),(M) SUSP/REVOKE LICENSE,N,,,,,,N,,,,,
1029,CS0014594,297,2016/11/19 06:24:59+00,00/18/2016 22:25:00,,334121,DRIVER,34,M,WHITE,W,,,NOT IN LIST,PASS,500,DAVID J STERN WALK,,,N,CITATION,M,(M) BATTERY CIVILIAN,PC,242,(M) BATTERY CIVILIAN,N,,,,,,N,,,,,
1030,CS0165161,257,2016/06/07 15:33:59+00,00/07/2016 08:34:00,,163182,DRIVER,23,F,AFRICAN AMERICAN,B,2005,FORD,FOCUS,PASS,,FRUITRIDGE RD,STOCKTON BLVD,E,N,CITATION,I,(I) WIRELESS DEVICE NOT HANDS FREE,VC,23123(A),(I) WIRELESS DEVICE NOT HANDS FREE,N,,,,,,N,,,,,2H
1031,CS0037564,222,2016/05/11 17:57:00+00,00/11/2016 10:50:00,CLEAR,134568,DRIVER,25,M,AFRICAN AMERICAN,B,2004,BMW,7 SERIES,PASS,,FLORIN RD,S LAND PARK DR,W,N,CITATION,M,(M) SUSP/REVOKE LICENSE,VC,14601.1(A),(M) SUSP/REVOKE LICENSE,N,5,40,,,,N,OFFICER WAS WESTBOUND ON FLORIN RD IN THE W-1 LANE APPROACHING S LAND PARK DR. AS THE OFFICER APPROACHED HE OBSERVED A GRAY BMW IN THE W-1 LANE MAKE A SUDDEN LANE CHANGE IN FRONT A DELIVERY TRUCK THAT WAS SLOWING IN PREPARATION TO STOP. THE DELIVERY TRUCK HAD TO STOP SUDDENLY AND HONKED HIS HORN.  OFFICER PULLED AROUND AND ACTIVATED OVERHEAD LIGHTS TO MAKE A STOP. OFFICER HAD TO ACTIVATE HIS SIREN TO GET THE VEHICLE TO STOP. THE DRIVER THEN HAD TO BE INSTRUCTED TO PULL OVER IN A SAFE AREA. THE DRIVER PRODUCED AN ID CARD. HIS LICENSE WAS FOUND TO BE SUSPENDED.  THE DRIVER WAS CITED AND A LICENSED DRIVER WAS LOCATED TO DRIVE THE CAR,,,,4D
1032,CS0101571,250,2016/11/16 23:23:59+00,00/14/2016 10:00:00,CLEAR,329307,DRIVER,20,M,AFRICAN AMERICAN,B,1991,ACURA,LEGEND,PASS,,STOCKTON BL,EL PARAISO AVE,E,N,CITATION,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),(I) PROOF OF INSURANCE REQUIRED,N,10,,,,,Y,,,Accident,,4D
1033,CS0117249,876,2016/12/23 02:03:59+00,00/22/2016 18:04:00,,365678,DRIVER,31,F,HISPANIC,W,2009,CHEVROLET,MALIBU HYBRID,PASS,,7TH ST,P ST,S,N,CITATION,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),(I) NO EVIDENCE OF CURRENT REGISTRATION,N,,,,,,N,,,,,
1034,CS0165196,257,2016/06/09 18:04:59+00,00/09/2016 11:05:00,CLEAR,165679,DRIVER,54,F,WHITE,W,2002,PORSCHE,911,PASS,,RICHARDS BLVD,N. 10TH ST,E,N,WARNING,I,(I) WIRELESS DEVICE NOT HANDS FREE,VC,23123(A),(I) WIRELESS DEVICE NOT HANDS FREE,N,,,,,,N,,,WARNING ONLY,,
1035,CS0137210,3006,2016/09/12 19:12:00+00,00/12/2016 12:12:00,,265430,DRIVER,73,M,WHITE,W,,,NOT IN LIST,PASS,,EMPRESS,EL CAMINO,,N,CITATION,I,(I) JAYWALKING PEDESTRIAN,SCC,10.20.020,(I) JAYWALKING PEDESTRIAN,N,,,,,,N,,,,,
1036,CS0029179,257,2016/02/09 22:59:00+00,00/09/2016 14:59:00,,38712,DRIVER,25,F,WHITE,W,2012,KIA,FORTE ,PASS,,J ST,ALHAMBRA BLVD,W,N,CITATION,I,(I) SEND/READ/WRITE TEXT WHILE DRIVING,VC,23123.5(A),(I) SEND/READ/WRITE TEXT WHILE DRIVING,N,,,,,,N,,,,,4D
1037,CS0144036,779,2016/07/22 16:25:59+00,00/22/2016 09:26:00,,212164,DRIVER,28,M,HISPANIC,W,2005,CADILLAC,ESCALADE EXT,PTRK,,SAN JUAN RD,NORTHGATE BLVD,E,N,CITATION,M,(M) SUSP/REVOKE LICENSE,VC,14601.1(A),(M) SUSP/REVOKE LICENSE,N,,,,,,N,SUSPENDED EFF 011316 AUTH 13365,,,,PK
1038,CS0164568,530,2016/05/15 07:12:59+00,00/15/2016 00:13:00,,138543,DRIVER,27,M,HISPANIC,W,2008,CHEVROLET,IMPALA,PASS,5770,FREEPORT BLVD,,S,N,CITATION,M,(M) OPERATE VEHICLE W/O IID,VC,23247(E),(M) OPERATE VEHICLE W/O IID,N,,,,,,N,,,,,
1039,CS0005031,794,2016/01/24 01:41:00+00,00/23/2016 17:41:00,CLEAR,21544,DRIVER,48,F,WHITE,W,2001,CHRYSLER,300,PASS,,TOWN CENTER DR,DEL PASO RD,W,N,CITATION,M,(M) UNLICENSED OPERATOR,VC,12500(A),(M) UNLICENSED OPERATOR,N,,,,,,N,,,,,4D
1040,CS0039281,931,2016/12/23 00:33:59+00,00/22/2016 16:34:00,CLEAR,365581,DRIVER,29,F,AFRICAN AMERICAN,B,2002,BUICK,PARK AVENUE,PASS,,16TH ST,J ST,N,N,CITATION,M,(M) UNLICENSED OPERATOR,VC,12500(A),(M) UNLICENSED OPERATOR,N,,,,,,N,,,,,4D
1041,CS0136205,522,2016/11/30 23:35:00+00,00/30/2016 15:35:00,,344215,DRIVER,27,M,WHITE,W,2013,FORD,F-250 SUPER DUTY,PASS,,F STREET,28TH STREET,,N,WARNING,I,(I)FAILURE TO STOP AT STOP SIGN,VC,22450(A),(I)FAILURE TO STOP AT STOP SIGN,N,,,,,,N,,,WARNING ONLY,,
1042,CS0048046,596,2016/01/09 00:11:00+00,00/08/2016 16:11:00,,7095,DRIVER,60,M,HISPANIC,W,1999,TOYOTA,TACOMA,PTRK,,ALIX PKWY,C PKWY,E,N,CITATION,M,(M) OPERATE VEHICLE W/O IID,VC,23247(E),(M) OPERATE VEHICLE W/O IID,N,,,,,,N,,,,,PK
1043,CS0051567,903,2016/09/23 23:32:00+00,00/23/2016 16:32:00,CLEAR,276744,DRIVER,43,M,WHITE,W,,,NOT IN LIST,PASS,901,N B STREET,,,N,CITATION,I,(I) UNLAWFUL STORAGE OF PERSONAL PROP ON PUBLIC PROP,SCC,12.52.040(A),(I) UNLAWFUL STORAGE OF PERSONAL PROP ON PUBLIC PROP,N,,,,,,N,,,,,
1044,CS0027593,3079,2016/02/06 05:47:00+00,00/05/2016 21:47:00,,35047,DRIVER,48,M,WHITE,W,1995,CHEVROLET,C/K 1500 SERIES,TRCK,,TRUXEL RD,BANNON CREEK,S,N,CITATION,M,(M) SUSP/REVOKE LICENSE,VC,14601.1(A),(M) SUSP/REVOKE LICENSE,N,,,,,,N,CAID,,,,PK
1045,CS0045511,270,2016/01/05 02:26:00+00,00/04/2016 18:26:00,CLEAR,3453,DRIVER,17,M,WHITE,W,2015,CHRYSLER,200,PASS,,NATOMAS BLVD,NEW MARKET DR,S,N,WARNING,I,(I) DISPLAY OF LICENSE PLATES,VC,5200(A),(I) DISPLAY OF LICENSE PLATES,N,,,,,,N,,,WARNING ONLY,,
1046,CS0165282,257,2016/06/30 15:27:59+00,00/30/2016 08:28:00,CLEAR,188312,DRIVER,21,M,UNKNOWN,U,2015,TOYOTA,COROLLA,PASS,,BROADWAY,BOTTOMS ALY,W,N,CITATION,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),(I) PROOF OF INSURANCE REQUIRED,N,,,,,,N,,,,,4D
1047,CS0167242,886,2016/12/05 18:24:00+00,00/05/2016 10:24:00,CLOUDY,348604,DRIVER,33,F,MIXED RACE,U,1999,LEXUS,RX 300,PASS,,FRUITRIDGE RD,53RD ST,E,N,WARNING,I,(I) SEND/READ/WRITE TEXT WHILE DRIVING,VC,23123.5(A),(I) SEND/READ/WRITE TEXT WHILE DRIVING,N,15,,,,,N,,,WARNING ONLY,,4H
1048,CS0167569,898,2016/12/17 05:13:59+00,00/16/2016 21:14:00,,360000,DRIVER,37,M,AFRICAN AMERICAN,B,2000,GMC,YUKON,PASS,,FREEPORT,35TH AVE,,N,CITATION,M,(M) SUSP/REVOKE LICENSE,VC,14601.1(A),(M) SUSP/REVOKE LICENSE,N,,,,,,N,,,,,
1049,CS0016738,804,2016/09/04 16:34:00+00,00/04/2016 09:34:00,,257202,DRIVER,33,F,WHITE,W,,,NOT IN LIST,PASS,1012,10TH STREET,,,N,CITATION,M,(M) POSS DANGEROUS DRUG,HS,11377(A),(M) POSS DANGEROUS DRUG,N,,,,,,N,,,,,
1050,CS0089519,768,2016/01/13 07:05:00+00,00/12/2016 23:05:00,,11087,DRIVER,36,M,UNKNOWN,U,2000,INFINITI,I30,PASS,,FRUITRIDGE RD,LAWRENCE DR,W,N,CITATION,M,(M) SUSP/REVOKE LICENSE,VC,14601.1(A),(M) SUSP/REVOKE LICENSE,N,,,,,,N,,,,,4D
1051,CS0011075,667,2016/09/16 07:18:59+00,00/16/2016 00:19:00,CLEAR,269080,DRIVER,25,M,AFRICAN AMERICAN,B,,,NOT IN LIST,PASS,1025,ALHAMBRA BLVD,,,N,CITATION,M,(M) TRESPASS AFTER NOTICE GIVEN,SCC,9.16.140(B)(1),(M) TRESPASS AFTER NOTICE GIVEN,N,,,,,,N,,,,,
1052,CS0108028,218,2016/04/22 02:25:00+00,00/21/2016 19:25:00,CLEAR,113626,DRIVER,42,M,AFRICAN AMERICAN,B,1997,CHEVROLET,SUBURBAN,PASS,,FREEPORT BLVD,BELLAUE WOOD LN,S,N,CITATION,M,(M) SUSP/REVOKE LICENSE,VC,14601.1(A),(M) SUSP/REVOKE LICENSE,N,35,,,,,N,,,,,4T
1053,CS0117094,876,2016/11/25 21:08:59+00,00/25/2016 13:09:00,,339749,DRIVER,45,M,MIXED RACE,U,2004,HONDA,RUCKUS,PASS,,C ST,27TH ST,E,N,WARNING,I,(I) HELMET REQUIREMENTS,VC,21212(A),(I) HELMET REQUIREMENTS,N,,,,,,N,,,,,
1054,CS0048109,596,2016/09/04 22:57:00+00,00/04/2016 15:57:00,,257500,DRIVER,24,M,HISPANIC,W,1999,TOYOTA,AVALON,PASS,,MEADOWGATE DR,SHINING STAR DR,S,N,CITATION,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),(I) NO EVIDENCE OF CURRENT REGISTRATION,N,,,,,,N,,,,,4D
1055,CS0067577,553,2016/04/30 03:35:00+00,00/29/2016 20:35:00,,122284,DRIVER,60,M,AFRICAN AMERICAN,B,,,NOT IN LIST,PASS,910,I ST,,,N,CITATION,I,(I) Possesses Open Container in a Public Place,SCC,9.04.055(C),(I) POSSESSES OPEN CONTAINER IN A PUBLIC PLACE,N,,,,,,N,,,,,
1056,CS0011032,667,2016/06/09 06:43:00+00,00/08/2016 23:43:00,CLEAR,165274,DRIVER,24,M,AFRICAN AMERICAN,B,1993,BMW,3 SERIES,PASS,,FRANKLIN BLVD,MANACOR DR,,N,CITATION,M,(M) SUSP/REVOKE LICENSE,VC,14601.1(A),(M) SUSP/REVOKE LICENSE,N,,,,,,N,,,,,
1057,CS0009462,298,2016/05/04 20:28:00+00,00/04/2016 13:28:00,CLOUDY,127303,DRIVER,53,F,HISPANIC,W,1998,TOYOTA,CAMRY,PASS,,RICHARDS,N 10TH ST,W,N,CITATION,M,(M) UNLICENSED OPERATOR,VC,12500(A),"(M) UNLICENSED OPERATOR
STATED SHE FAILED DMV DL EXAM",N,,,,,,N,,,,,4D
1058,CS0102083,660,2016/02/25 22:21:00+00,00/25/2016 14:21:00,CLEAR,55193,DRIVER,33,F,AFRICAN AMERICAN,B,2014,GMC,TERRAIN,PASS,,DEER CREEK,DEER HILL,S,N,CITATION,I,(I) MANDATORY CHILD RESTRAINT REQUIRED FOR CHILD 8 YRS AND UNDER,VC,27360(A),(I) MANDATORY CHILD RESTRAINT REQUIRED FOR CHILD 8 YRS AND UNDER,N,,,,,,N,I WAS OUTSIDE MY CAR AND THIS VEH WAS SLOWLY MOVING S IFO SCHOOL. I WALKED NEXT TO THE CAR AND TALKING TO HER AS SHE MOVED S AND SAW THE SMALL BABY IN THE HER CARSEAT BEHIND THE DRIVER W NO SEATBELT ON. IN SEAT BUT NO STRAPS MOM SAID BABY TOOK THEM OFF,,,,4D
1059,CS0029279,257,2016/03/16 16:12:59+00,00/16/2016 09:13:00,CLEAR,74891,DRIVER,29,F,HISPANIC,W,2006,MAZDA,MAZDA3,PASS,,FRUITRIDGE RD,STOCKTON BLVD,W,N,CITATION,M,(M) UNLICENSED OPERATOR,VC,12500(A),(M) UNLICENSED OPERATOR,N,,,,,,N,,,,,4D
1060,CS0097024,896,2016/08/09 02:23:59+00,00/08/2016 19:24:00,,229810,DRIVER,50,M,AFRICAN AMERICAN,B,,,NOT IN LIST,PASS,,MACK RD,CENTER PKWY,,N,CITATION,M,(M) POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA INJECT/SMOKING,HS,11364(A),(M) POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA INJECT/SMOKING,N,,,,,,N,,,,,
1061,CS0099087,3041,2016/10/27 23:42:00+00,00/27/2016 16:42:00,RAIN,311422,DRIVER,18,F,HISPANIC,W,2003,TOYOTA,COROLLA,PASS,,GRAND,MAHOGANY,W,N,CITATION,I,(I)FAILURE TO STOP AT STOP SIGN,VC,22450(A),(I)FAILURE TO STOP AT STOP SIGN,N,10,30,,,,N,,,,,4D
1062,CS0001364,530,2016/03/15 21:55:00+00,00/15/2016 14:55:00,,74215,DRIVER,27,F,HISPANIC,W,2006,CHEVROLET,UPLANDER,PASS,,MCCLATCHY WAY,5TH ST,N,N,CITATION,I,(I)FAILURE TO STOP AT STOP SIGN,VC,22450(A),(I)FAILURE TO STOP AT STOP SIGN,N,,,,,,N,,,,,
1063,CS0093027,687,2016/10/06 17:51:00+00,00/06/2016 10:51:00,CLEAR,289708,DRIVER,21,M,WHITE,W,1998,PONTIAC,SUNFIRE,PASS,,ARCADE BLVD,CALLECITA ST,E,N,CITATION,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),(I) PROOF OF INSURANCE REQUIRED,N,,,,,,N,,,,,4D
1064,CS0048640,897,2016/06/17 00:53:00+00,00/16/2016 17:53:00,,173690,DRIVER,16,M,AFRICAN AMERICAN,B,2012,CHEVROLET,MALIBU,PASS,,OTTUMWA,E COMMERCE,N,N,CITATION,I,(I) LICENSE NOT IN POSSESSION,VC,12951(A),(I) LICENSE NOT IN POSSESSION,N,,,,,,N,,,,,
1065,CS0152605,592,2016/12/22 00:08:59+00,00/21/2016 16:09:00,CLEAR,364503,DRIVER,50,F,WHITE,W,2011,MITSUBISHI,ECLIPSE,PASS,,ARDEN WAY,ARDEN WAY WB BUSINESS 80 ON,S,N,CITATION,I,(I) UNSAFE TURNING MOVEMENT,VC,22107,(I) UNSAFE TURNING MOVEMENT,N,,,,,,N,ON FREEWAY. VEH MOVES FROM RT LANE TO MERGING LANE BUT WHEN MOVES ALMOST SIDESWIPES VEH IN MERGE LANE.  ID BY CDL. SAYS LATE FOR APPT.  CITE SIGNED.,,,,CP
1066,CS0124079,388,2016/04/18 05:23:00+00,00/17/2016 22:23:00,CLEAR,109439,DRIVER,27,M,AFRICAN AMERICAN,B,2003,VOLKSWAGEN,PASSAT,PASS,,54TH ST,FOLSOM BLVD,W,N,CITATION,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),(I) PROOF OF INSURANCE REQUIRED,N,,,,,,N,,,,,4D
1067,CS0068064,3038,2016/11/12 19:57:59+00,00/12/2016 11:58:00,,327557,DRIVER,54,F,AFRICAN AMERICAN,B,,,NOT IN LIST,PASS,910,I STREET,,,N,CITATION,I,(I) Possesses Open Container in a Public Place,SCC,9.04.055(C),(I) POSSESSES OPEN CONTAINER IN A PUBLIC PLACE,N,,,,,,N,WATER BOTTLE HALF FULL OF BEER,,,,
1068,CS0167039,886,2016/07/22 17:25:00+00,00/22/2016 10:25:00,CLEAR,212223,DRIVER,33,M,MIXED RACE,U,2000,TOYOTA,CAMRY,PASS,,FOLSOM BLVD,JULLIARD DR,E,N,CITATION,M,(M) SUSP/REVOKE LICENSE,VC,14601.1(A),(M) SUSP/REVOKE LICENSE,N,35,,,,,N,,,,,4T
1069,CS0168138,257,2016/10/11 22:15:59+00,00/11/2016 15:16:00,CLEAR,295007,DRIVER,33,M,WHITE,W,2013,BMW,3 SERIES,PASS,,BROADWAY,BOTTOMS ALY,W,N,CITATION,I,(I) WIRELESS DEVICE NOT HANDS FREE,VC,23123(A),(I) WIRELESS DEVICE NOT HANDS FREE,N,,,,,,N,,,,,
1070,CS0094529,397,2016/06/30 22:47:59+00,00/30/2016 15:48:00,,188728,DRIVER,22,F,HISPANIC,W,,,NOT IN LIST,PASS,6200,MCMAHON,,,N,CITATION,M,(M) POSS DANGEROUS DRUG,HS,11377(A),(M) POSS DANGEROUS DRUG,N,,,,,,N,,,,,
1071,CS0015428,592,2016/04/15 02:16:00+00,00/14/2016 19:16:00,,106009,DRIVER,41,F,WHITE,W,2007,SUBARU,OUTBACK,PASS,,J ST,16TH ST,E,N,CITATION,I,(I) UNSAFE TURNING MOVEMENT,VC,22107,(I) UNSAFE TURNING MOVEMENT,N,,,,,,N,EB J ST.  VEH IS 2 CARS AHEAD.  CAN'T SEE BC OF LARGE TRUCK.  WHITE VEH PULLS FROM S CURB IN BETWEEN TRUCK AND DEF. DEF HITS BRAKES AND SWERVES TO RT TO GET INTO PARKING SPOT.  DOES SO FAST CAN'T PARK.  STOP ID BY CDL.  SAID WAS TRYING TO PARK.  CITE SIGNED SOW.,,,,SW
1072,CS0072544,778,2016/10/04 22:27:00+00,00/04/2016 19:30:00,,287765,DRIVER,69,M,WHITE,W,,,NOT IN LIST,PASS,2818,PLOVER ST,,,Y,CITATION,M,(M) WILLFULLY DISOBEY COURT ORDER,PC,166(4),(M) WILLFULLY DISOBEY COURT ORDER,N,,,,,,N,,,,,
1073,CS0062572,866,2016/09/08 21:27:00+00,00/08/2016 14:27:00,,261476,DRIVER,52,F,WHITE,W,,,NOT IN LIST,PASS,11TH,STREET,STREET,,N,CITATION,I,(I) Possesses Open Container in a Public Place,SCC,9.04.055(C),(I) POSSESSES OPEN CONTAINER IN A PUBLIC PLACE,N,,,,,,N,,,,,
