CitationNumber,OfficerBadgeNo,CitationDate,CitationTime,OffenseDate,OffenseTime,WeatherCondition,CaseNumber,ViolatorPartyType,ViolatorAge,ViolatorSex,ViolatorRace,ViolatorEthnicity,VehYear,VehMake,VehModel,VehType,PrimaryBlock,PrimaryStreet,CrossStreet,DirectionOfTravel,Arrest,ViolationStopResult,ViolationOffenseType,ViolationDescription,Offense_Code,OffenseSubCode,Violation_Notes,CourtRequired,ObservedSpeed,PostedSpeed,SpeedDetermined,RadarMovSta,Radar_LidarNo,Accident,OfficerNotes,DiagramFilename,ReasonForStop,TypeOfSearch,VehicleSearch,ObjectId
CS0228344,931,2022/02/08 00:00:00+00,2023/02/01 09:37:00+00,2022/02/08 00:00:00+00,2023/02/01 09:37:00+00,,37327,DRIVER,20,M,EAST INDIAN,W,2010,FORD,,PASS,,FLORIN RD,17TH ST ,W,N,Citation,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),,N,65,40,LIDAR,HANDHELD,,N,,,,,,1339
CS0228345,931,2022/02/08 00:00:00+00,2023/02/01 09:52:00+00,2022/02/08 00:00:00+00,2023/02/01 09:52:00+00,,37348,DRIVER,49,M,ASIAN OTHER,A,2007,HONDA,,PASS,,FLORIN RD,17TH ST,W,N,Citation,I,(I) UNSAFE SPEED FOR CONDITIONS,VC,22350,,N,55,40,LIDAR,HANDHELD,,N,,,,,,1340
CS0228346,931,2022/02/08 00:00:00+00,2023/02/01 10:09:00+00,2022/02/08 00:00:00+00,2023/02/01 10:09:00+00,,37370,DRIVER,18,M,AFRICAN AMERICAN,B,2013,BMW,,PASS,,FLORIN RD,17TH ST,W,N,Citation,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),,N,70,40,LIDAR,HANDHELD,,N,,,,,,1341
CS0228346,931,2022/02/08 00:00:00+00,2023/02/01 10:09:00+00,2022/02/08 00:00:00+00,2023/02/01 10:09:00+00,,37370,DRIVER,18,M,AFRICAN AMERICAN,B,2013,BMW,,PASS,,FLORIN RD,17TH ST,W,N,Citation,I,(I) UNSAFE SPEED FOR CONDITIONS,VC,22350,,N,70,40,LIDAR,HANDHELD,,N,,,,,,1342
CS0228347,931,2022/02/08 00:00:00+00,2023/02/01 10:36:00+00,2022/02/08 00:00:00+00,2023/02/01 10:36:00+00,,37400,DRIVER,35,F,WHITE,W,1994,HONDA,,PASS,,MEADOWVIEW RD,19TH ST,E,N,Citation,M,(M) DRIVING ON SUSP/REVOKED CDL FOR DUI OR DRUGS,VC,14601.2(A),,N,,40,,,,N,,,,,,1343
CS0228348,931,2022/02/08 00:00:00+00,2023/02/01 10:36:00+00,2022/02/08 00:00:00+00,2023/02/01 10:36:00+00,,37400,DRIVER,35,F,WHITE,W,1994,HONDA,,PASS,,MEADOWVIEW RD,CORAL GABLES CT,E,N,Citation,M,(M) DRIVING ON SUSP/REVOKED CDL FOR DUI OR DRUGS,VC,14601.2(A),,N,,40,,,,N,,,,,,1344
CS0228349,931,2022/02/08 00:00:00+00,2023/02/01 11:47:00+00,2022/02/08 00:00:00+00,2023/02/01 11:47:00+00,,37498,DRIVER,68,M,WHITE,W,2017,BUICK,,PASS,,RIVERSIDE BLVD,PARK RIVIERA WAY,,N,Citation,I,(I) IN-HAND USE OF WIRELESS DEVICE WHILE DRIVING,VC,23123.5(A),,N,,,,,,N,,,,,,1345
CS0228350,931,2022/02/08 00:00:00+00,2023/02/01 12:01:00+00,2022/02/08 00:00:00+00,2023/02/01 12:01:00+00,,37515,DRIVER,29,F,ASIAN OTHER,A,2007,TOYOTA,NOT IN LIST,PASS,,RIVERSIDE BLVD,PARK RIVIERA WAY,,N,Citation,I,(I) IN-HAND USE OF WIRELESS DEVICE WHILE DRIVING,VC,23123.5(A),,N,,,,,,N,,,,,,1346
CS0228351,931,2022/02/08 00:00:00+00,2023/02/01 12:13:00+00,2022/02/08 00:00:00+00,2023/02/01 12:13:00+00,,37530,DRIVER,34,M,WHITE,W,2003,ACURA,,PASS,,RIVERSIDE BLVD,43RD AVE,,N,Citation,I,(I) DEFECTIVE WINDSHIELD/REAR WINDOW GLASS - CORRECT W/IN 48 HRS,VC,26710,,N,,,,,,N,,,,,,1347
CS0228351,931,2022/02/08 00:00:00+00,2023/02/01 12:13:00+00,2022/02/08 00:00:00+00,2023/02/01 12:13:00+00,,37530,DRIVER,34,M,WHITE,W,2003,ACURA,,PASS,,RIVERSIDE BLVD,43RD AVE,,N,Citation,M,(M) UNLICENSED OPERATOR,VC,12500(A),,N,,,,,,N,,,,,,1348
CS0228352,931,2022/02/08 00:00:00+00,2023/02/01 15:32:00+00,2022/02/08 00:00:00+00,2023/02/01 15:32:00+00,,37765,DRIVER,27,M,AFRICAN AMERICAN,B,2017,JEEP,,PASS,,COSUMNES RIVER BLVD,DELTA SHORES CIR ,E,N,Citation,I,(I) LICENSE NOT IN POSSESSION,VC,12951(A),,N,81,,,,,N,,,,,,1349
CS0230904,530,2022/02/08 00:00:00+00,2023/02/01 10:55:00+00,2022/02/08 00:00:00+00,2023/02/01 10:55:00+00,,37426,DRIVER,34,F,HISPANIC,W,1998,MERCEDES-BENZ,,PASS,,DEL PASO BLVD,PLAZA AVE,N,N,Citation,M,(M) SUSP/REVOKE LICENSE,VC,14601.1(A),,N,,,,,,N,,,,,,1350
CS0230904,530,2022/02/08 00:00:00+00,2023/02/01 10:55:00+00,2022/02/08 00:00:00+00,2023/02/01 10:55:00+00,,37426,DRIVER,34,F,HISPANIC,W,1998,MERCEDES-BENZ,,PASS,,DEL PASO BLVD,PLAZA AVE,N,N,Citation,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),,N,,,,,,N,,,,,,1351
CS0230904,530,2022/02/08 00:00:00+00,2023/02/01 10:55:00+00,2022/02/08 00:00:00+00,2023/02/01 10:55:00+00,,37426,DRIVER,34,F,HISPANIC,W,1998,MERCEDES-BENZ,,PASS,,DEL PASO BLVD,PLAZA AVE,N,N,Citation,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),,N,,,,,,N,,,,,,1352
CS0230905,530,2022/02/08 00:00:00+00,2023/02/01 11:05:00+00,2022/02/08 00:00:00+00,2023/02/01 11:05:00+00,,37438,DRIVER,33,F,HISPANIC,W,2015,CHEVROLET,,PASS,,HELENA AVE,DEL PASO BLVD,N,N,Citation,I,(I)FAILURE TO STOP AT STOP SIGN,VC,22450(A),,N,55,35,PACED,HANDHELD,,N,,,,,,1353
CS0230905,530,2022/02/08 00:00:00+00,2023/02/01 11:05:00+00,2022/02/08 00:00:00+00,2023/02/01 11:05:00+00,,37438,DRIVER,33,F,HISPANIC,W,2015,CHEVROLET,,PASS,,HELENA AVE,DEL PASO BLVD,N,N,Citation,I,(I) UNSAFE SPEED FOR CONDITIONS,VC,22350,,N,55,35,PACED,HANDHELD,,N,,,,,,1354
CS0234783,920,2022/02/03 00:00:00+00,2023/02/01 13:24:00+00,2022/02/03 00:00:00+00,2023/02/01 13:24:00+00,,32631,DRIVER,22,M,HISPANIC,W,2005,ACURA,,PASS,,DEL PASO BLVD,GLENROSE AVE,,N,Citation,I,(I) LICENSE NOT IN POSSESSION,VC,12951(A),,N,,,,,,N,,,,,,1355
CS0230906,530,2022/02/08 00:00:00+00,2023/02/01 11:39:00+00,2022/02/08 00:00:00+00,2023/02/01 11:39:00+00,,37487,DRIVER,28,M,ASIAN OTHER,A,2006,BMW,,PASS,,DEL PASO BLVD,MARYSVILLE BLVD,S,N,Citation,M,(M) UNLICENSED OPERATOR,VC,12500(A),,N,,,,,,N,,,,,,1356
CS0230907,530,2022/02/08 00:00:00+00,2023/02/01 11:48:00+00,2022/02/08 00:00:00+00,2023/02/01 11:48:00+00,,37497,DRIVER,75,M,AFRICAN AMERICAN,B,2015,TOYOTA,,PASS,,DEL PASO BLVD,BOXWOOD ST,S,N,Citation,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),,N,,,,,,N,,,,,,1357
CS0230908,530,2022/02/08 00:00:00+00,2023/02/01 12:06:00+00,2022/02/08 00:00:00+00,2023/02/01 12:06:00+00,,37520,DRIVER,48,F,AFRICAN AMERICAN,B,1998,TOYOTA,,PASS,,DEL PASO BLVD,PLAZA AVE,N,N,Citation,I,"(I) DRIVER/PASSENGER NO SEAT BELT, DRIVER RESPONSIBLE",VC,27315(D)(1),,N,,,,,,N,,,,,,1358
CS0230909,530,2022/02/08 00:00:00+00,2023/02/01 12:14:00+00,2022/02/08 00:00:00+00,2023/02/01 12:14:00+00,,37533,DRIVER,69,F,WHITE,W,2010,MERCEDES-BENZ,,PASS,,TAFT ST,DEL PASO BLVD,N,N,Citation,M,(M) SUSP/REVOKE LICENSE,VC,14601.1(A),,N,,,,,,N,,,,,,1359
CS0230909,530,2022/02/08 00:00:00+00,2023/02/01 12:14:00+00,2022/02/08 00:00:00+00,2023/02/01 12:14:00+00,,37533,DRIVER,69,F,WHITE,W,2010,MERCEDES-BENZ,,PASS,,TAFT ST,DEL PASO BLVD,N,N,Citation,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),,N,,,,,,N,,,,,,1360
CS0230909,530,2022/02/08 00:00:00+00,2023/02/01 12:14:00+00,2022/02/08 00:00:00+00,2023/02/01 12:14:00+00,,37533,DRIVER,69,F,WHITE,W,2010,MERCEDES-BENZ,,PASS,,TAFT ST,DEL PASO BLVD,N,N,Citation,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),,N,,,,,,N,,,,,,1361
CS0230910,530,2022/02/08 00:00:00+00,2023/02/01 12:19:00+00,2022/02/08 00:00:00+00,2023/02/01 12:19:00+00,,37543,DRIVER,46,M,WHITE,W,2007,TOYOTA,,PASS,,DEL PASO BLVD,LAND AVE,N,N,Citation,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),,N,,,,,,N,,,,,,1362
CS0230911,530,2022/02/08 00:00:00+00,2023/02/01 12:34:00+00,2022/02/08 00:00:00+00,2023/02/01 12:34:00+00,,37557,DRIVER,39,M,WHITE,W,2012,AUDI,,PASS,,DARINA AVE,DEL PASO BLVD,S,N,Citation,M,(M) DRIVING ON SUSP/REVOKED CDL FOR DUI OR DRUGS,VC,14601.2(A),,N,,,,,,N,,,,,,1363
CS0230911,530,2022/02/08 00:00:00+00,2023/02/01 12:34:00+00,2022/02/08 00:00:00+00,2023/02/01 12:34:00+00,,37557,DRIVER,39,M,WHITE,W,2012,AUDI,,PASS,,DARINA AVE,DEL PASO BLVD,S,N,Citation,M,(M) OPERATE VEHICLE W/O IID,VC,23247(E),,N,,,,,,N,,,,,,1364
CS0230911,530,2022/02/08 00:00:00+00,2023/02/01 12:34:00+00,2022/02/08 00:00:00+00,2023/02/01 12:34:00+00,,37557,DRIVER,39,M,WHITE,W,2012,AUDI,,PASS,,DARINA AVE,DEL PASO BLVD,S,N,Citation,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),,N,,,,,,N,,,,,,1365
CS0234480,407,2022/02/08 00:00:00+00,2023/02/01 09:30:00+00,2022/02/08 00:00:00+00,2023/02/01 09:30:00+00,,37318,DRIVER,51,M,WHITE,W,2010,JEEP,WRANGLER,PASS,,73RD ST,14TH AVE,,N,Citation,I,(I) DISPLAY OF LICENSE PLATES,VC,5200(A),,N,,,,,,N,,,,,,1366
CS0234481,407,2022/02/08 00:00:00+00,2023/02/01 09:43:00+00,2022/02/08 00:00:00+00,2023/02/01 09:43:00+00,,37337,DRIVER,28,M,HISPANIC,W,2007,LEXUS,RX 350,PASS,,POWER INN RD,21ST AVE,,N,Citation,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),,N,,,,,,N,,,,,,1367
CS0234482,407,2022/02/08 00:00:00+00,2023/02/01 09:50:00+00,2022/02/08 00:00:00+00,2023/02/01 09:50:00+00,,37345,DRIVER,25,M,AFRICAN AMERICAN,B,2001,TOYOTA,CAMRY,PASS,,POWER INN RD,RAMONA AVE,,N,Citation,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),,N,,,,,,N,,,,,,1368
CS0234483,407,2022/02/08 00:00:00+00,2023/02/01 10:03:00+00,2022/02/08 00:00:00+00,2023/02/01 10:03:00+00,,37361,DRIVER,32,M,AFRICAN AMERICAN,B,2008,LEXUS,,PASS,,POWER INN RD,21ST AVE,,N,Citation,I,(I) UNSAFE SPEED FOR CONDITIONS,VC,22350,,N,65,45,LIDAR,HANDHELD,,N,,,,,,1369
CS0234483,407,2022/02/08 00:00:00+00,2023/02/01 10:03:00+00,2022/02/08 00:00:00+00,2023/02/01 10:03:00+00,,37361,DRIVER,32,M,AFRICAN AMERICAN,B,2008,LEXUS,,PASS,,POWER INN RD,21ST AVE,,N,Citation,M,(M) UNLICENSED OPERATOR,VC,12500(A),,N,65,45,LIDAR,HANDHELD,,N,,,,,,1370
CS0234484,407,2022/02/08 00:00:00+00,2023/02/01 10:14:00+00,2022/02/08 00:00:00+00,2023/02/01 10:14:00+00,,37377,DRIVER,34,F,ASIAN OTHER,A,2010,NISSAN,VERSA,PASS,,POWER INN RD,21ST AVE,,N,Citation,I,(I) UNSAFE SPEED FOR CONDITIONS,VC,22350,,N,60,45,LIDAR,HANDHELD,,N,,,,,,1371
CS0234485,407,2022/02/08 00:00:00+00,2023/02/01 10:26:00+00,2022/02/08 00:00:00+00,2023/02/01 10:26:00+00,,37388,DRIVER,42,M,HISPANIC,W,2005,HONDA,ACCORD,PASS,,POWER INN RD,21ST AVE,,N,Citation,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),,N,60,45,LIDAR,HANDHELD,,N,,,,,,1372
CS0234485,407,2022/02/08 00:00:00+00,2023/02/01 10:26:00+00,2022/02/08 00:00:00+00,2023/02/01 10:26:00+00,,37388,DRIVER,42,M,HISPANIC,W,2005,HONDA,ACCORD,PASS,,POWER INN RD,21ST AVE,,N,Citation,M,(M) UNLICENSED OPERATOR,VC,12500(A),,N,60,45,LIDAR,HANDHELD,,N,,,,,,1373
CS0234485,407,2022/02/08 00:00:00+00,2023/02/01 10:26:00+00,2022/02/08 00:00:00+00,2023/02/01 10:26:00+00,,37388,DRIVER,42,M,HISPANIC,W,2005,HONDA,ACCORD,PASS,,POWER INN RD,21ST AVE,,N,Citation,I,(I) UNSAFE SPEED FOR CONDITIONS,VC,22350,,N,60,45,LIDAR,HANDHELD,,N,,,,,,1374
CS0234486,407,2022/02/08 00:00:00+00,2023/02/01 10:41:00+00,2022/02/08 00:00:00+00,2023/02/01 10:41:00+00,,37406,DRIVER,60,M,EAST INDIAN,W,2012,TOYOTA,COROLLA,PASS,,POWER INN RD,21ST AVE,,N,Citation,I,(I) UNSAFE SPEED FOR CONDITIONS,VC,22350,,N,65,45,LIDAR,HANDHELD,,N,,,,,,1375
CS0234487,407,2022/02/08 00:00:00+00,2023/02/01 11:21:00+00,2022/02/08 00:00:00+00,2023/02/01 11:21:00+00,,37463,DRIVER,62,M,HISPANIC,W,2005,TOYOTA,HIGHLANDER,PASS,,48TH ST,T ST,,N,Citation,I,(I) WIRELESS DEVICE NOT HANDS FREE,VC,23123(A),,N,,,,,,N,,,,,,1376
CS0234488,407,2022/02/08 00:00:00+00,2023/02/01 13:55:00+00,2022/02/08 00:00:00+00,2023/02/01 13:55:00+00,,37637,DRIVER,62,M,WHITE,W,2005,TOYOTA,COROLLA,PASS,,59TH ST,FOLSOM BLVD,,N,Citation,I,(I) VEHICLE IN BIKE LANE,VC,21209(A),,N,,,,,,N,,,,,,1377
CS0234489,407,2022/02/08 00:00:00+00,2023/02/01 14:39:00+00,2022/02/08 00:00:00+00,2023/02/01 14:39:00+00,,37692,DRIVER,30,M,HISPANIC,W,2002,HONDA,ACCORD,PASS,,FOLSOM BLVD,60TH ST,,N,Citation,I,(I) UNSAFE SPEED FOR CONDITIONS,VC,22350,,N,50,25,LIDAR,HANDHELD,,N,,,,,,1378
CS0234490,407,2022/02/08 00:00:00+00,2023/02/01 14:51:00+00,2022/02/08 00:00:00+00,2023/02/01 14:51:00+00,,37700,DRIVER,47,F,WHITE,W,2013,RAM,RAM PICKUP 1500,PASS,,FOLSOM BLVD,60TH ST,,N,Citation,I,(I) UNSAFE SPEED FOR CONDITIONS,VC,22350,,N,50,25,LIDAR,HANDHELD,,N,,,,,,1379
CS0234490,407,2022/02/08 00:00:00+00,2023/02/01 14:51:00+00,2022/02/08 00:00:00+00,2023/02/01 14:51:00+00,,37700,DRIVER,47,F,WHITE,W,2013,RAM,RAM PICKUP 1500,PASS,,FOLSOM BLVD,60TH ST,,N,Citation,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),,N,50,25,LIDAR,HANDHELD,,N,,,,,,1380
CS0234797,920,2022/02/08 00:00:00+00,2023/02/01 09:01:00+00,2022/02/08 00:00:00+00,2023/02/01 09:01:00+00,,37294,DRIVER,34,M,ASIAN OTHER,A,1999,LEXUS,,PASS,,E COMMERCE WAY,OTTUMWA DR,,N,Citation,I,(I)FAILURE TO STOP AT STOP SIGN,VC,22450(A),,N,,,,,,N,,,,,,1381
CS0234798,920,2022/02/08 00:00:00+00,2023/02/01 09:11:00+00,2022/02/08 00:00:00+00,2023/02/01 09:11:00+00,,37303,DRIVER,27,F,HISPANIC,W,2008,LEXUS,,PASS,,E COMMERCE WAY,OTTUMWA DR,,N,Citation,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),,N,,,,,,N,,,,,,1382
CS0234798,920,2022/02/08 00:00:00+00,2023/02/01 09:11:00+00,2022/02/08 00:00:00+00,2023/02/01 09:11:00+00,,37303,DRIVER,27,F,HISPANIC,W,2008,LEXUS,,PASS,,E COMMERCE WAY,OTTUMWA DR,,N,Citation,I,(I) IN-HAND USE OF WIRELESS DEVICE WHILE DRIVING,VC,23123.5(A),,N,,,,,,N,,,,,,1383
CS0234799,920,2022/02/08 00:00:00+00,2023/02/01 09:21:00+00,2022/02/08 00:00:00+00,2023/02/01 09:21:00+00,,37314,DRIVER,49,M,ASIAN OTHER,A,2007,LEXUS,,PASS,,E COMMERCE WAY,OTTUMWA DR,,N,Citation,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),,N,,,,,,N,,,,,,1384
CS0234799,920,2022/02/08 00:00:00+00,2023/02/01 09:21:00+00,2022/02/08 00:00:00+00,2023/02/01 09:21:00+00,,37314,DRIVER,49,M,ASIAN OTHER,A,2007,LEXUS,,PASS,,E COMMERCE WAY,OTTUMWA DR,,N,Citation,I,(I) ADDRESS CHANGE - NOTIFY DMV WITHIN 10 DAYS,VC,14600(A),,N,,,,,,N,,,,,,1385
CS0234800,920,2022/02/08 00:00:00+00,2023/02/01 09:34:00+00,2022/02/08 00:00:00+00,2023/02/01 09:34:00+00,,37324,DRIVER,36,M,WHITE,W,2018,HONDA,,PASS,,E COMMERCE WAY,OTTUMWA DR,,N,Citation,I,(I) LICENSE NOT IN POSSESSION,VC,12951(A),,N,,,,,,N,,,,,,1386
CS0234801,920,2022/02/08 00:00:00+00,2023/02/01 09:46:00+00,2022/02/08 00:00:00+00,2023/02/01 09:46:00+00,,37343,DRIVER,37,F,EAST INDIAN,W,2022,TOYOTA,,PASS,,E COMMERCE WAY,OTTUMWA DR,,N,Citation,I,(I) IN-HAND USE OF WIRELESS DEVICE WHILE DRIVING,VC,23123.5(A),,N,,,,,,N,,,,,,1387
CS0234802,920,2022/02/08 00:00:00+00,2023/02/01 09:56:00+00,2022/02/08 00:00:00+00,2023/02/01 09:56:00+00,,37354,DRIVER,38,M,EAST INDIAN,W,2015,TOYOTA,,PASS,,E COMMERCE WAY,OTTUMWA DR,,N,Citation,I,(I) IN-HAND USE OF WIRELESS DEVICE WHILE DRIVING,VC,23123.5(A),,N,,,,,,N,,,,,,1388
CS0234803,920,2022/02/08 00:00:00+00,2023/02/01 11:12:00+00,2022/02/08 00:00:00+00,2023/02/01 11:12:00+00,,37444,DRIVER,23,F,HISPANIC,W,2009,LEXUS,,PASS,,MARYSVILLE BLVD,GRACE AVE,,N,Citation,M,(M) DRIVING ON SUSP/REVOKED CDL FOR DUI OR DRUGS,VC,14601.2(A),,N,,,,,,N,,,,,,1389
CS0234803,920,2022/02/08 00:00:00+00,2023/02/01 11:12:00+00,2022/02/08 00:00:00+00,2023/02/01 11:12:00+00,,37444,DRIVER,23,F,HISPANIC,W,2009,LEXUS,,PASS,,MARYSVILLE BLVD,GRACE AVE,,N,Citation,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),,N,,,,,,N,,,,,,1390
CS0234803,920,2022/02/08 00:00:00+00,2023/02/01 11:12:00+00,2022/02/08 00:00:00+00,2023/02/01 11:12:00+00,,37444,DRIVER,23,F,HISPANIC,W,2009,LEXUS,,PASS,,MARYSVILLE BLVD,GRACE AVE,,N,Citation,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),,N,,,,,,N,,,,,,1391
CS0234804,920,2022/02/08 00:00:00+00,2023/02/01 11:51:00+00,2022/02/08 00:00:00+00,2023/02/01 11:51:00+00,,37506,DRIVER,52,M,WHITE,W,2002,INFINITI,,PASS,,PALO VERDE AVE,MARYSVILLE BLVD,,N,Citation,I,(I) MANDATORY CHILD RESTRAINT REQUIRED FOR CHILD 8 YRS AND UNDER,VC,27360(A),,N,,,,,,N,,,,,,1392
CS0234805,920,2022/02/08 00:00:00+00,2023/02/01 14:57:00+00,2022/02/08 00:00:00+00,2023/02/01 14:57:00+00,,37703,DRIVER,50,F,HISPANIC,W,2006,ACURA,,PASS,,NORTHGATE BLVD,JEFFERSON AVE,,N,Citation,I,(I) LICENSE NOT IN POSSESSION,VC,12951(A),,N,,,,,,N,,,,,,1393
CS0234805,920,2022/02/08 00:00:00+00,2023/02/01 14:57:00+00,2022/02/08 00:00:00+00,2023/02/01 14:57:00+00,,37703,DRIVER,50,F,HISPANIC,W,2006,ACURA,,PASS,,NORTHGATE BLVD,JEFFERSON AVE,,N,Citation,I,(I) IN-HAND USE OF WIRELESS DEVICE WHILE DRIVING,VC,23123.5(A),,N,,,,,,N,,,,,,1394
CS0234806,920,2022/02/08 00:00:00+00,2023/02/01 15:13:00+00,2022/02/08 00:00:00+00,2023/02/01 15:13:00+00,,37735,DRIVER,41,F,WHITE,W,2018,KIA,,PASS,,NORTHGATE BLVD,PATIO AVE,,N,Citation,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),,N,,,,,,N,,,,,,1395
CS0234807,920,2022/02/08 00:00:00+00,2023/02/01 15:21:00+00,2022/02/08 00:00:00+00,2023/02/01 15:21:00+00,,37754,DRIVER,47,M,HISPANIC,W,2019,HONDA,,PASS,,NORTHGATE BLVD,PATIO AVE,,N,Citation,I, (I) FAIL TO STOP AT LIMIT LINE OR CROSSWALK ON RED SIGNAL,VC,21453(A),,N,,,,,,N,,,,,,1396
CS0234808,920,2022/02/08 00:00:00+00,2023/02/01 15:37:00+00,2022/02/08 00:00:00+00,2023/02/01 15:37:00+00,,37772,DRIVER,21,F,WHITE,W,2010,NISSAN,,PASS,,NORTHGATE BLVD,ROSIN CT,,N,Citation,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),,N,,,,,,N,,,,,,1397
CS0235251,946,2022/02/08 00:00:00+00,2023/02/01 09:18:00+00,2022/02/08 00:00:00+00,2023/02/01 09:18:00+00,CLEAR,37312,DRIVER,28,M,AFRICAN AMERICAN,B,2021,CHRYSLER,300,PASS,,INTERSTATE 5,Q ST,S,N,Citation,I,(I) MAXIMUM SPEED - OVER 65 LIMIT,VC,22349(A),,N,80,65,PACED,HANDHELD,,N,,,,,,1398
CS0235251,946,2022/02/08 00:00:00+00,2023/02/01 09:18:00+00,2022/02/08 00:00:00+00,2023/02/01 09:18:00+00,CLEAR,37312,DRIVER,28,M,AFRICAN AMERICAN,B,2021,CHRYSLER,300,PASS,,INTERSTATE 5,Q ST,S,N,Citation,I,(I) IN-HAND USE OF WIRELESS DEVICE WHILE DRIVING,VC,23123.5(A),,N,80,65,PACED,HANDHELD,,N,,,,,,1399
CS0235251,946,2022/02/08 00:00:00+00,2023/02/01 09:18:00+00,2022/02/08 00:00:00+00,2023/02/01 09:18:00+00,CLEAR,37312,DRIVER,28,M,AFRICAN AMERICAN,B,2021,CHRYSLER,300,PASS,,INTERSTATE 5,Q ST,S,N,Citation,M,(M) UNLICENSED OPERATOR,VC,12500(A),,N,80,65,PACED,HANDHELD,,N,,,,,,1400
CS0235252,946,2022/02/08 00:00:00+00,2023/02/01 09:36:00+00,2022/02/08 00:00:00+00,2023/02/01 09:36:00+00,CLEAR,37328,DRIVER,21,F,WHITE,W,2016,MASERATI,GHIBLI,PASS,,MEADOWVIEW RD,21ST ST,W,N,Citation,I,(I) MAXIMUM SPEED - OVER 55 LIMIT,VC,22349(B),,N,65,35,VISUAL EST,HANDHELD,,N,,,Refusal,,,1401
CS0235253,946,2022/02/08 00:00:00+00,2023/02/01 10:03:00+00,2022/02/08 00:00:00+00,2023/02/01 10:03:00+00,CLEAR,37363,DRIVER,32,M,EAST INDIAN,W,2008,LEXUS,GS 350,PASS,,AMHERST ST,MEADOWVIEW RD,S,N,WARNING,I,(I) IN-HAND USE OF WIRELESS DEVICE WHILE DRIVING,VC,23123.5(A),,N,,,,,,N,,,WARNING ONLY,,,1402
CS0235254,946,2022/02/08 00:00:00+00,2023/02/01 10:15:00+00,2022/02/08 00:00:00+00,2023/02/01 10:15:00+00,CLEAR,37381,DRIVER,54,M,ASIAN OTHER,A,2001,TOYOTA,HIGHLANDER,PASS,,WAINSCOTT WAY,GEORGICA WAY,N,N,Citation,I,(I)FAILURE TO STOP AT STOP SIGN,VC,22450(A),,N,,,,,,N,,,,,,1403
CS0235255,946,2022/02/08 00:00:00+00,2023/02/01 10:28:00+00,2022/02/08 00:00:00+00,2023/02/01 10:28:00+00,CLEAR,37392,DRIVER,38,M,EAST INDIAN,W,2014,FORD,F-150,PASS,,WAINSCOTT WAY,GEORGICA WAY,N,N,Citation,I,(I) IN-HAND USE OF WIRELESS DEVICE WHILE DRIVING,VC,23123.5(A),,N,,,,,,N,,,,,,1404
CS0048948,897,2022/02/10 00:00:00+00,2023/02/01 17:50:00+00,2022/02/10 00:00:00+00,2023/02/01 17:50:00+00,,40269,DRIVER,20,M,HISPANIC,W,2012,FORD,MUSTANG,PASS,,SOUTH,RIO LINDA,N,N,CITATION,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),,N,,,,,,N,,,,,,1405
CS0228343,931,2022/02/04 00:00:00+00,2023/02/01 09:41:00+00,2022/02/04 00:00:00+00,2023/02/01 09:41:00+00,,33442,DRIVER,52,F,UNKNOWN,U,2019,TOYOTA,,PASS,,CLUB CENTER DR,BANFIELD DR,E,N,Citation,I,(I)FAILURE TO STOP AT STOP SIGN,VC,22450(A),,N,,,,,,N,,,,,,1406
CS0234783,920,2022/02/03 00:00:00+00,2023/02/01 13:24:00+00,2022/02/03 00:00:00+00,2023/02/01 13:24:00+00,,32631,DRIVER,22,M,HISPANIC,W,2005,ACURA,,PASS,,DEL PASO BLVD,GLENROSE AVE,,N,Citation,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),,N,,,,,,N,,,,,,1407
CS0230895,530,2022/02/03 00:00:00+00,2023/02/01 08:12:00+00,2022/02/03 00:00:00+00,2023/02/01 08:12:00+00,,32311,DRIVER,30,F,AFRICAN AMERICAN,B,2017,HYUNDAI,,PASS,,EB 50,W/O 15TH ST,E,N,Citation,I,(I) MAXIMUM SPEED - OVER 65 LIMIT,VC,22349(A),,N,87,65,PACED,HANDHELD,,N,,,,,,1408
